               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.029254,            0.023482,            0.014992,             0.88898,             0.98251,             0.96174,             0.73695,            0.026093,            0.018685,            0.014251,            0.004258,            0.004258,            0.004258
                  89,            0.026725,            0.023024,             0.01455,             0.84656,             0.98603,             0.93039,             0.75919,            0.026024,            0.019501,            0.014122,            0.004192,            0.004192,            0.004192
                  90,            0.030087,            0.026521,            0.014572,             0.82268,             0.98646,             0.92781,             0.72295,            0.022786,            0.018109,            0.014034,            0.004126,            0.004126,            0.004126
                  91,            0.027634,            0.022504,            0.014707,              0.7161,             0.98751,             0.89705,             0.65213,            0.026234,            0.019065,             0.01392,             0.00406,             0.00406,             0.00406
                  92,            0.027951,            0.022551,            0.014066,              0.8086,             0.98741,             0.92838,             0.67056,            0.024805,            0.018371,            0.013868,            0.003994,            0.003994,            0.003994
                  93,             0.02724,            0.022132,            0.013652,             0.85464,             0.98722,             0.94416,             0.72815,            0.025051,            0.018658,            0.013741,            0.003928,            0.003928,            0.003928
                  94,            0.027119,            0.025206,            0.014515,             0.85996,             0.98762,             0.94252,              0.7497,            0.021427,             0.01736,            0.013683,            0.003862,            0.003862,            0.003862
                  95,            0.025439,             0.02261,             0.01368,             0.85827,             0.98654,             0.95747,             0.60689,            0.026698,            0.018652,            0.013564,            0.003796,            0.003796,            0.003796
                  96,            0.026439,            0.024207,             0.01438,             0.84683,              0.9865,             0.95159,             0.69388,            0.026104,            0.018959,            0.013424,             0.00373,             0.00373,             0.00373
                  97,            0.026672,            0.022571,            0.013865,             0.87217,             0.92876,             0.95506,             0.73244,            0.024058,            0.018108,            0.013298,            0.003664,            0.003664,            0.003664
                  98,            0.026876,            0.023727,             0.01445,             0.93437,             0.92746,             0.95652,             0.77099,            0.019697,            0.016326,            0.013271,            0.003598,            0.003598,            0.003598
                  99,            0.025585,            0.024818,            0.013968,              0.8996,             0.92576,             0.95715,             0.70389,            0.025176,            0.018374,            0.013182,            0.003532,            0.003532,            0.003532
                 100,            0.025085,            0.023598,            0.014045,              0.8954,             0.92226,             0.95706,             0.68889,            0.024526,             0.01787,             0.01309,            0.003466,            0.003466,            0.003466
                 101,            0.025638,            0.023691,            0.013608,             0.97015,             0.92078,             0.95911,             0.79521,            0.023244,            0.017309,            0.012998,              0.0034,              0.0034,              0.0034
                 102,            0.026449,            0.022668,            0.013967,             0.97654,             0.92043,             0.96851,             0.81553,            0.019324,            0.015915,            0.012968,            0.003334,            0.003334,            0.003334
                 103,             0.02448,             0.02045,            0.013202,             0.89687,             0.91802,             0.94816,             0.69816,            0.024696,            0.018341,            0.012873,            0.003268,            0.003268,            0.003268
                 104,            0.024735,            0.021693,            0.012862,             0.98154,             0.91697,              0.9856,             0.75964,            0.023119,            0.017275,            0.012766,            0.003202,            0.003202,            0.003202
                 105,            0.025049,            0.022883,            0.013271,             0.98156,               0.916,             0.98533,             0.82953,            0.020898,            0.016735,            0.012648,            0.003136,            0.003136,            0.003136
                 106,            0.024376,            0.022772,            0.013112,             0.98147,             0.91612,             0.98088,              0.7942,            0.019295,            0.016162,            0.012597,             0.00307,             0.00307,             0.00307
                 107,            0.025873,            0.024182,            0.013407,             0.97764,              0.9159,             0.97046,             0.78532,            0.021982,            0.017488,            0.012495,            0.003004,            0.003004,            0.003004
                 108,             0.02416,            0.021614,             0.01287,             0.97786,             0.91659,             0.97121,             0.74376,            0.022889,            0.017625,            0.012449,            0.002938,            0.002938,            0.002938
                 109,            0.022833,            0.020564,            0.012965,             0.98023,             0.91687,             0.98076,             0.79366,            0.022083,            0.017293,            0.012402,            0.002872,            0.002872,            0.002872
                 110,            0.024394,            0.024102,            0.013466,             0.98009,             0.91704,             0.98204,             0.82703,              0.0189,             0.01624,            0.012382,            0.002806,            0.002806,            0.002806
                 111,            0.022568,            0.020438,            0.012528,             0.97948,             0.91969,              0.9826,             0.75313,            0.022121,            0.017485,            0.012279,             0.00274,             0.00274,             0.00274
                 112,            0.022229,            0.020726,            0.012546,              0.9805,             0.92041,             0.98309,             0.76887,            0.021629,            0.017167,            0.012209,            0.002674,            0.002674,            0.002674
                 113,             0.02244,            0.020131,            0.012699,             0.97838,             0.92041,             0.98169,              0.7897,            0.019848,            0.016352,            0.012151,            0.002608,            0.002608,            0.002608
                 114,            0.022766,            0.018719,            0.012319,             0.97868,             0.92191,             0.98186,             0.83452,            0.018371,            0.015421,            0.012106,            0.002542,            0.002542,            0.002542
                 115,            0.023798,            0.021727,            0.012704,             0.98121,             0.92222,             0.98276,             0.77926,            0.020829,            0.016196,            0.012006,            0.002476,            0.002476,            0.002476
                 116,             0.02187,            0.020361,            0.012426,             0.98196,              0.9221,              0.9828,             0.79494,            0.019745,            0.015924,            0.011938,             0.00241,             0.00241,             0.00241
                 117,            0.022008,            0.021412,            0.012947,             0.98192,             0.92322,              0.9838,             0.81841,            0.019248,            0.015961,            0.011881,            0.002344,            0.002344,            0.002344
                 118,            0.021562,            0.019264,            0.012551,              0.9821,             0.92344,             0.98526,             0.86674,            0.016447,            0.014727,            0.011829,            0.002278,            0.002278,            0.002278
                 119,            0.020829,            0.021412,            0.011992,             0.98338,             0.96065,             0.99004,             0.80725,             0.01999,            0.016404,            0.011771,            0.002212,            0.002212,            0.002212
                 120,            0.020592,            0.018826,            0.012857,             0.98305,             0.96149,             0.99136,             0.81981,            0.018711,            0.015668,            0.011707,            0.002146,            0.002146,            0.002146
                 121,            0.021089,            0.019887,            0.012346,             0.98363,              0.9804,             0.99093,              0.8191,            0.018121,            0.015167,            0.011658,             0.00208,             0.00208,             0.00208
                 122,            0.020956,            0.019304,             0.01204,             0.98458,             0.97978,             0.99073,             0.85708,            0.017491,            0.014821,            0.011628,            0.002014,            0.002014,            0.002014
                 123,            0.020503,            0.019045,            0.012265,             0.98641,             0.97804,             0.99074,             0.88448,            0.016663,            0.014399,            0.011564,            0.001948,            0.001948,            0.001948
                 124,            0.021112,            0.019471,            0.012569,             0.98583,             0.97844,             0.99053,             0.78963,            0.018866,              0.0152,            0.011475,            0.001882,            0.001882,            0.001882
                 125,            0.019708,             0.01972,             0.01235,             0.98567,             0.97884,             0.99059,             0.84087,            0.018554,            0.015113,            0.011433,            0.001816,            0.001816,            0.001816
                 126,            0.020628,             0.01926,            0.012464,             0.98616,             0.97864,             0.99059,             0.85919,             0.01579,            0.014005,            0.011418,             0.00175,             0.00175,             0.00175
                 127,            0.019199,            0.018557,            0.012161,             0.98673,             0.97883,             0.99064,             0.86616,            0.017139,            0.014362,            0.011359,            0.001684,            0.001684,            0.001684
                 128,            0.018732,             0.01892,            0.011898,             0.98536,             0.97989,             0.99072,             0.86293,            0.017104,            0.014671,             0.01132,            0.001618,            0.001618,            0.001618
